step area
100 1.05
600 0.920833
1100 0.934091
1600 0.963281
2100 0.935714
2600 0.944712
3100 0.954839
3600 0.93125
4100 0.95
4600 0.919837
5100 0.960294
5600 0.937277
6100 0.946107
6600 0.944508
7100 0.953873
7600 0.944572
8100 0.95463
8600 0.939971
9100 0.946154
9600 0.944531
10100 0.949752
10600 0.947524
11100 0.948311
11600 0.942565
12100 0.952479
12600 0.940972
13100 0.949427
13600 0.942279
14100 0.943262
14600 0.95274
15100 0.950248
15600 0.95649
16100 0.943245
16600 0.944955
17100 0.942251
17600 0.944531
18100 0.941851
18600 0.9375
19100 0.943979
19600 0.948661
20100 0.944154
20600 0.940898
21100 0.94686
21600 0.946644
22100 0.945362
22600 0.950166
23100 0.944589
23600 0.946398
24100 0.940508
24600 0.942276
25100 0.942679
25600 0.949805
26100 0.946264
26600 0.950752
27100 0.950046
27600 0.942165
28100 0.940658
28600 0.94458
29100 0.948797
29600 0.946115
30100 0.941611
30600 0.942933
31100 0.943971
31600 0.942128
32100 0.945132
32600 0.940107
33100 0.943995
33600 0.945536
34100 0.94857
34600 0.944653
35100 0.943162
35600 0.946489
36100 0.948199
36600 0.945902
37100 0.941712
37600 0.946742
38100 0.942815
38600 0.945466
39100 0.947858
39600 0.942803
40100 0.945542
40600 0.942826
41100 0.937682
41600 0.942668
42100 0.940618
42600 0.946127
43100 0.942633
43600 0.944094
44100 0.945011
44600 0.944114
45100 0.942655
45600 0.9446
46100 0.946448
46600 0.945467
47100 0.943073
47600 0.943461
48100 0.944491
48600 0.948148
49100 0.945519
49600 0.943397
50100 0.947181
50600 0.946146
51100 0.941952
51600 0.947602
52100 0.941723
52600 0.945699
53100 0.945198
53600 0.948088
54100 0.946511
54600 0.942995
55100 0.944192
55600 0.946043
56100 0.941488
56600 0.944192
57100 0.939602
57600 0.94401
58100 0.945977
58600 0.944134
59100 0.943845
59600 0.943079
60100 0.942492
60600 0.945627
61100 0.943883
61600 0.945515
62100 0.945169
62600 0.942352
63100 0.945721
63600 0.94491
64100 0.943194
64600 0.947291
65100 0.946659
65600 0.94314
66100 0.944421
66600 0.948818
67100 0.945212
67600 0.947282
68100 0.942401
68600 0.944807
69100 0.946997
69600 0.945348
70100 0.945257
70600 0.945308
71100 0.94615
71600 0.944605
72100 0.942736
72600 0.945971
73100 0.9467
73600 0.942612
74100 0.944433
74600 0.945442
75100 0.947953
75600 0.944263
76100 0.943709
76600 0.943097
77100 0.947811
77600 0.944169
78100 0.941709
78600 0.947646
79100 0.94469
79600 0.944001
80100 0.947269
80600 0.94558
81100 0.945654
81600 0.948545
82100 0.944169
82600 0.946277
83100 0.946706
83600 0.944767
84100 0.945927
84600 0.94471
85100 0.943434
85600 0.943049
86100 0.946167
86600 0.943317
87100 0.940255
87600 0.942994
88100 0.945814
88600 0.944921
89100 0.943434
89600 0.94361
90100 0.945838
90600 0.942936
91100 0.943496
91600 0.944323
92100 0.948439
92600 0.943156
93100 0.944066
93600 0.944338
94100 0.94369
94600 0.947622
95100 0.943743
95600 0.942782
96100 0.940713
96600 0.947283
97100 0.945237
97600 0.940561
98100 0.94433
98600 0.946869
99100 0.943214
99600 0.943951
