step area
100 1.3611
600 0.858789
1100 1.06943
1600 1.03905
2100 1.07869
2600 0.88621
3100 0.940852
3600 0.947908
4100 0.9651
4600 0.896127
5100 0.915025
5600 0.994783
6100 0.973807
6600 0.981052
7100 0.932503
7600 0.942791
8100 0.937406
8600 0.977866
9100 0.96794
9600 0.928667
10100 0.980877
10600 0.956621
11100 0.929296
11600 0.931984
12100 0.893472
12600 0.93209
13100 0.956628
13600 0.917169
14100 0.94877
14600 0.968218
15100 0.908472
15600 0.941676
16100 0.900958
16600 0.927703
17100 0.985859
17600 0.972214
18100 0.909906
18600 0.917853
19100 0.978831
19600 0.917155
20100 0.952382
20600 0.920299
21100 0.943646
21600 0.970413
22100 0.932181
22600 0.968772
23100 0.951591
23600 0.981277
24100 0.904441
24600 0.942573
25100 0.941227
25600 0.919805
26100 0.948001
26600 0.939319
27100 0.986564
27600 0.936284
28100 0.937961
28600 0.945359
29100 0.959184
29600 0.935756
30100 0.970599
30600 0.945208
31100 0.948768
31600 0.924834
32100 0.929812
32600 0.939409
33100 0.959584
33600 0.937202
34100 0.929733
34600 0.954511
35100 0.947008
35600 0.963202
36100 0.948784
36600 0.965307
37100 0.947581
37600 0.932136
38100 0.954607
38600 0.952064
39100 0.967738
39600 0.960429
40100 0.951121
40600 0.930547
41100 0.952344
41600 0.953283
42100 0.911941
42600 0.916985
43100 0.928002
43600 0.967308
44100 0.945318
44600 0.954121
45100 0.929315
45600 0.92872
46100 0.927083
46600 0.961156
47100 0.933614
47600 0.956895
48100 0.945938
48600 0.930004
49100 0.959937
49600 0.951828
50100 0.947375
50600 0.960109
51100 0.941772
51600 0.964865
52100 0.935452
52600 0.943565
53100 0.943285
53600 0.951717
54100 0.957657
54600 0.93767
55100 0.951217
55600 0.943887
56100 0.963549
56600 0.932363
57100 0.938331
57600 0.943182
58100 0.933225
58600 0.925096
59100 0.936352
59600 0.934369
60100 0.926919
60600 0.950395
61100 0.954074
61600 0.939701
62100 0.945912
62600 0.935251
63100 0.941245
63600 0.955704
64100 0.933992
64600 0.960625
65100 0.939657
65600 0.967471
66100 0.927059
66600 0.937325
67100 0.944395
67600 0.938704
68100 0.939949
68600 0.937775
69100 0.952657
69600 0.912568
70100 0.946695
70600 0.961472
71100 0.926406
71600 0.947229
72100 0.944166
72600 0.942619
73100 0.949737
73600 0.92466
74100 0.936658
74600 0.958399
75100 0.93972
75600 0.934148
76100 0.949984
76600 0.954191
77100 0.956073
77600 0.941769
78100 0.941715
78600 0.953536
79100 0.944928
79600 0.935572
80100 0.92427
80600 0.95026
81100 0.928458
81600 0.938853
82100 0.944267
82600 0.9422
83100 0.925299
83600 0.953025
84100 0.942504
84600 0.950954
85100 0.935427
85600 0.936664
86100 0.945114
86600 0.944372
87100 0.945536
87600 0.929152
88100 0.947825
88600 0.944013
89100 0.951482
89600 0.955395
90100 0.941353
90600 0.939806
91100 0.966344
91600 0.936021
92100 0.962502
92600 0.928957
93100 0.948404
93600 0.933886
94100 0.950104
94600 0.944568
95100 0.921712
95600 0.94801
96100 0.945
96600 0.944537
97100 0.943878
97600 0.928882
98100 0.938815
98600 0.932773
99100 0.942979
99600 0.922432
